,root_mean_squared1,root_mean_squared2,root_mean_squared3,root_mean_squared4,iemg1,iemg2,iemg3,iemg4,mean_absolute_value1,mean_absolute_value2,mean_absolute_value3,mean_absolute_value4,variance1,variance2,variance3,variance4,wave_form_length1,wave_form_length2,wave_form_length3,wave_form_length4,mean1,mean2,mean3,mean4,median1,median2,median3,median4,skewness1,skewness2,skewness3,skewness4,kurt1,kurt2,kurt3,kurt4,label
127,3403.4487,3411.9314,3416.983,3410.5864,197400.0,197892.0,198185.0,197814.0,3403.4482,3411.9312,3416.9827,3410.5862,2.799049,2.1331744,1.3962544,1.3115339,55.0,53.0,47.0,37.0,3403.4482,3411.9312,3416.9827,3410.5862,3403.0,3412.0,3417.0,3411.0,0.17843997,-0.14624271,-0.279945,0.7868327,-0.47134447,-0.75238395,-0.49721193,0.9652622,2
128,3390.0874,3411.053,3408.5356,3417.6582,196625.0,197841.0,197695.0,198224.0,3390.0862,3411.0518,3408.5344,3417.6553,8.078775,7.7042203,8.766053,21.846613,71.0,69.0,71.0,73.0,3390.0862,3411.0518,3408.5344,3417.6553,3390.0,3411.0,3408.5,3417.0,-0.11426691,0.110949524,0.06310292,-0.023842936,-0.35076594,-1.346789,-0.905751,-0.8422382,0
129,3421.4614,3410.6904,3411.2766,3414.9329,198444.0,197820.0,197854.0,198066.0,3421.4482,3410.6897,3411.276,3414.9312,91.86803,5.248513,5.2342443,12.202141,63.0,70.0,67.0,73.0,3421.4482,3410.6897,3411.276,3414.9312,3423.5,3411.0,3411.5,3415.0,-0.22812136,-0.14179088,-0.03812018,0.17886749,-1.0418426,-1.1080179,-1.4177612,-0.6579163,2
130,3398.939,3434.4717,3420.4004,3404.4834,197138.0,199198.0,198383.0,197460.0,3398.9312,3434.4482,3420.3965,3404.4827,54.75386,161.1094,26.066881,4.870393,54.0,55.0,44.0,41.0,3398.9312,3434.4482,3420.3965,3404.4827,3399.0,3435.5,3421.5,3405.0,0.14110975,-0.19505477,-0.664972,-0.34256738,-1.2363855,-1.1175711,-0.7378807,-1.4050698,0
131,3388.2764,3417.345,3407.9834,3428.6384,196520.0,198206.0,197663.0,198861.0,3388.276,3417.3447,3407.9827,3428.638,4.0618315,0.8121284,4.844531,3.886148,43.0,47.0,36.0,43.0,3388.276,3417.3447,3407.9827,3428.638,3388.0,3417.0,3408.0,3429.0,0.60615516,0.25697926,-0.0070951995,-0.70538664,-0.6105547,-0.6851442,-1.2514421,-0.41438127,1
132,3418.536,3411.4429,3394.638,3410.259,198275.0,197863.0,196889.0,197795.0,3418.5344,3411.4312,3394.638,3410.2585,9.835018,81.38319,1.4723545,3.502081,40.0,54.0,42.0,53.0,3418.5344,3411.4312,3394.638,3410.2585,3419.0,3412.0,3395.0,3410.0,-0.39488178,-0.05497702,0.54534596,0.14324343,-0.9895835,-1.2221863,-0.14734745,-1.1992368,2
133,3397.0173,3410.0347,3405.9316,3322.849,197027.0,197782.0,197544.0,192724.0,3397.0173,3410.0344,3405.9312,3322.8276,1.0859096,1.0332937,3.271106,143.21165,51.0,48.0,43.0,71.0,3397.0173,3410.0344,3405.9312,3322.8276,3397.0,3410.0,3406.0,3318.0,0.6052568,0.6206193,-1.0689397,1.2297466,0.5110328,0.009505749,0.6344867,0.2880292,0
134,3383.1226,3401.07,3403.4138,3413.5864,196221.0,197262.0,197398.0,197988.0,3383.1206,3401.0688,3403.4138,3413.5862,14.5888815,8.236623,1.4149822,1.1736029,57.0,53.0,51.0,45.0,3383.1206,3401.0688,3403.4138,3413.5862,3382.5,3401.0,3403.0,3414.0,0.4792024,0.20226209,-0.10237625,-0.18152751,-0.9409387,-1.1935593,0.08732581,-0.34367657,1
135,3422.8796,3402.2324,3416.897,3416.4048,198527.0,197329.0,198180.0,198151.0,3422.8794,3402.224,3416.8965,3416.3965,4.3130198,55.415283,2.5755053,55.13585,36.0,45.0,54.0,48.0,3422.8794,3402.224,3416.8965,3416.3965,3424.0,3404.0,3417.0,3415.5,-0.7745413,-0.43536878,0.26885924,0.4680345,-0.70972323,-1.0733953,-0.5071244,-0.91658163,2
136,3376.4658,3408.312,3393.3628,3403.0,195835.0,197682.0,196815.0,197374.0,3376.4656,3408.3103,3393.362,3403.0,1.1453627,10.524377,4.437872,1.0689656,37.0,51.0,43.0,46.0,3376.4656,3408.3103,3393.362,3403.0,3376.5,3408.0,3393.0,3403.0,-0.5856508,0.5181271,0.7905522,-0.3744016,1.1980457,-0.570245,-0.39056492,-0.616025,0
